Commit hash,Changed targets
cf5fd88f13f0b11625ac407f85cb58b36862e173,com.google.javascript.rhino.Node; com.google.javascript.rhino.jstype.AllType; com.google.javascript.rhino.jstype.ArrowType; com.google.javascript.rhino.jstype.EnumElementType; com.google.javascript.rhino.jstype.EnumType; com.google.javascript.rhino.jstype.FunctionType; com.google.javascript.rhino.jstype.InstanceObjectType; com.google.javascript.rhino.jstype.JSType; com.google.javascript.rhino.jstype.NamedType; com.google.javascript.rhino.jstype.NoObjectType; com.google.javascript.rhino.jstype.ObjectType; com.google.javascript.rhino.jstype.ProxyObjectType; com.google.javascript.rhino.jstype.RecordType; com.google.javascript.rhino.jstype.UnionType
6d00ac1a68612aade8a19d7ecc9b180f00ae5234,com.google.javascript.jscomp.AbstractCommandLineRunner; com.google.javascript.jscomp.CheckGlobalThis; com.google.javascript.jscomp.JSModuleGraph; com.google.javascript.jscomp.LinkedFlowScope; com.google.javascript.jscomp.SourceFile; com.google.javascript.jscomp.Tracer; com.google.javascript.jscomp.TypedCodeGenerator; com.google.javascript.jscomp.parsing.JsDocInfoParser; com.google.javascript.rhino.jstype.FunctionType; com.google.javascript.rhino.jstype.JSTypeRegistry; com.google.javascript.rhino.jstype.NamedType
4672a1aca15e6d5c3e7c2e00e31767f3c8327335,com.google.javascript.jscomp.Normalize; com.google.javascript.jscomp.RemoveUnusedVars
8aa879a4eeb18cfc8d13e6c843a32b7f41ccd516,com.google.javascript.jscomp.FunctionInformationMap; com.google.javascript.jscomp.Instrumentation; com.google.javascript.jscomp.CheckGlobalThis
d1df970451b5a18956448097b3afb43f3a82263d,com.google.javascript.jscomp.CollapseProperties; com.google.javascript.jscomp.InlineVariables; com.google.javascript.jscomp.ReferenceCollectingCallback
e33e925eea3a8e4de958864e531e1adc4da62e18,com.google.javascript.jscomp.CheckMissingReturn; com.google.javascript.jscomp.CheckUnreachableCode; com.google.javascript.jscomp.CodeGenerator; com.google.javascript.jscomp.Compiler; com.google.javascript.jscomp.DefaultPassConfig; com.google.javascript.jscomp.DefinitionsRemover; com.google.javascript.jscomp.ExpressionDecomposer; com.google.javascript.jscomp.ExternExportsPass; com.google.javascript.jscomp.FoldConstants; com.google.javascript.jscomp.FunctionInjector; com.google.javascript.jscomp.MakeDeclaredNamesUnique; com.google.javascript.jscomp.MethodCompilerPass; com.google.javascript.jscomp.MinimizeExitPoints; com.google.javascript.jscomp.NodeUtil; com.google.javascript.jscomp.PeepholeOptimizationsPass; com.google.javascript.jscomp.PeepholeRemoveDeadCode; com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax; com.google.javascript.jscomp.PureFunctionIdentifier; com.google.javascript.jscomp.TypedCodeGenerator; com.google.javascript.jscomp.UnreachableCodeElimination; com.google.javascript.jscomp.parsing.Annotation; com.google.javascript.jscomp.parsing.JsDocInfoParser; com.google.javascript.rhino.JSDocInfo; com.google.javascript.rhino.JSDocInfoBuilder; com.google.javascript.rhino.jstype.TernaryValue
e829dafb9b3365bda6b6bb80f5fa97783752d143,com.google.javascript.jscomp.FunctionInformationMap; com.google.javascript.jscomp.Instrumentation; com.google.javascript.jscomp.AliasKeywords; com.google.javascript.jscomp.CodingConvention; com.google.javascript.jscomp.Compiler; com.google.javascript.jscomp.CrossModuleMethodMotion; com.google.javascript.jscomp.DefaultCodingConvention; com.google.javascript.jscomp.ExternExportsPass; com.google.javascript.jscomp.GoogleCodingConvention; com.google.javascript.jscomp.NodeUtil; com.google.javascript.jscomp.Normalize; com.google.javascript.jscomp.PrepareAst; com.google.javascript.jscomp.SanityCheck; com.google.javascript.jscomp.ScopedAliases; com.google.javascript.jscomp.TypeCheck; com.google.javascript.rhino.jstype.UnionType; com.google.javascript.rhino.jstype.UnionTypeBuilder
5f09a76531fb4f6e182238411017e6fc7e74ad16,com.google.javascript.jscomp.NodeUtil
465282f1ca28a208b06c47b55fd292d4631c55da,com.google.javascript.jscomp.FunctionTypeBuilder; com.google.javascript.jscomp.TypedScopeCreator; com.google.javascript.rhino.jstype.FunctionBuilder; com.google.javascript.rhino.jstype.FunctionType
83d03ec5c8b7c49896841a9386bec0f75d2697a5,com.google.javascript.jscomp.ExternExportsPass; com.google.javascript.jscomp.PeepholeFoldConstants; com.google.javascript.jscomp.ant.CompileTask
