Target,Commit count
com.google.javascript.jscomp.type.ClosureReverseAbstractInterpreter,4
com.google.javascript.jscomp.newtypes.Property,4
com.google.javascript.jscomp.parsing.parser.ParseTreeVisitor,4
com.google.javascript.jscomp.parsing.parser.codegeneration.ParseTreeTransformer,4
com.google.javascript.jscomp.ConstCheck,4
com.google.javascript.jscomp.newtypes.EnumType,4
com.google.javascript.jscomp.ES6ModuleLoader,4
com.google.javascript.refactoring.RefasterJs,4
com.google.javascript.jscomp.CompilerOptionsPreprocessor,4
com.google.javascript.jscomp.lint.CheckEnums,4
com.google.javascript.jscomp.ImplicitNullabilityCheck,4
com.google.javascript.jscomp.Es6TypedToEs6Converter,4
com.google.javascript.jscomp.TemplateAstMatcher,4
com.google.javascript.jscomp.SubstituteEs6Syntax,4
com.google.javascript.jscomp.ClosureOptimizePrimitives,4
com.google.javascript.jscomp.RemoveUnusedPolyfills,4
com.google.javascript.jscomp.PolymerBehaviorExtractor,4
com.google.javascript.jscomp.NameBasedDefinitionProvider,4
com.google.javascript.jscomp.transpile.BaseTranspiler,4
com.google.javascript.jscomp.CrossModuleReferenceCollector,4
com.google.javascript.jscomp.TypedVar,4
com.google.javascript.jscomp.Es6InjectRuntimeLibraries,4
com.google.javascript.jscomp.PassNames,4
com.google.javascript.jscomp.CheckMissingGetCssName,4
com.google.javascript.jscomp.modules.EsModuleProcessor,4
com.google.javascript.jscomp.ModuleImportResolver,4
com.google.javascript.jscomp.disambiguate.DisambiguateProperties2,4
com.google.javascript.jscomp.InjectTranspilationRuntimeLibraries,4
com.google.javascript.jscomp.OptionalChainRewriter,4
com.google.javascript.jscomp.serialization.TypedAstDeserializer,4
com.google.javascript.jscomp.serialization.ScriptNodeDeserializer,4
com.google.javascript.jscomp.CompilerRunner,3
com.google.javascript.jscomp.NodeIterators,3
com.google.javascript.rhino.jstype.RecordTypeBuilder,3
com.google.javascript.jscomp.ChainCalls,3
com.google.javascript.jscomp.MethodCompilerPass,3
com.google.javascript.jscomp.CombinedCompilerPass,3
com.google.javascript.jscomp.deps.SortedDependencies,3
com.google.javascript.jscomp.deps.DepsFileParser,3
com.google.javascript.jscomp.SideEffectsAnalysis,3
com.google.javascript.jscomp.RemoveUnusedPrototypeProperties,3
com.google.javascript.jscomp.SpecializeModule,3
com.google.javascript.jscomp.jsonml.Writer,3
com.google.javascript.jscomp.deps.JsFunctionParser,3
com.google.debugging.sourcemap.SourceMapLineDecoder,3
com.google.javascript.jscomp.DiagnosticType,3
com.google.javascript.jscomp.regex.CaseCanonicalize,3
com.google.javascript.jscomp.regex.RegExpTree,3
com.google.javascript.rhino.SourcePosition,3
com.google.javascript.jscomp.JSModule,3
com.google.debugging.sourcemap.Util,3
com.google.javascript.jscomp.CallGraph,3
com.google.javascript.jscomp.ControlFlowGraph,3
com.google.javascript.jscomp.ExploitAssigns,3
com.google.javascript.jscomp.InstrumentFunctions,3
com.google.javascript.jscomp.MarkNoSideEffectCalls,3
com.google.javascript.jscomp.TransformAMDToCJSModule,3
com.google.javascript.rhino.ErrorReporter,3
com.google.javascript.rhino.ScriptRuntime,3
com.google.javascript.jscomp.VariableMap,3
com.google.javascript.jscomp.CheckAccidentalSemicolon,3
com.google.javascript.jscomp.deps.SimpleDependencyInfo,3
org.mozilla.javascript.AttachJsDocs,3
com.google.javascript.jscomp.CheckEventfulObjectDisposal,3
com.google.javascript.jscomp.fuzzing.Fuzzer,3
com.google.javascript.jscomp.newtypes.DeclaredTypeRegistry,3
com.google.javascript.jscomp.parsing.parser.codegeneration.ParseTreeFactory,3
com.google.javascript.jscomp.parsing.parser.trees.FunctionDeclarationTree,3
com.google.javascript.jscomp.deps.ClosureBundler,3
com.google.javascript.jscomp.CheckUnusedPrivateProperties,3
com.google.javascript.jscomp.parsing.parser.util.format.SimpleFormat,3
com.google.javascript.jscomp.DependencyOptions,3
com.google.javascript.jscomp.CheckMissingSuper,3
com.google.javascript.jscomp.Es6SuperCheck,3
com.google.javascript.rhino.dtoa.DToA,3
com.google.javascript.jscomp.LineNumberCheck,3
com.google.javascript.jscomp.newtypes.Namespace,3
com.google.javascript.jscomp.Es6ExtractClasses,3
com.google.javascript.jscomp.J2clEqualitySameRewriterPass,3
com.google.javascript.jscomp.deps.ModuleNames,3
com.google.javascript.jscomp.PolymerPassSuppressBehaviors,3
com.google.javascript.rhino.ObjectTypeI,3
com.google.javascript.refactoring.CodeReplacement,3
com.google.javascript.jscomp.BranchCoverageInstrumentationCallback,3
com.google.javascript.jscomp.HoistVarsOutOfBlocks,3
com.google.javascript.jscomp.EarlyEs6ToEs3Converter,3
com.google.debugging.sourcemap.SourceMapObjectParserJs,3
com.google.javascript.jscomp.Es6NormalizeShorthandProperties,3
com.google.javascript.jscomp.Es6RewriteBlockScopedFunctionDeclaration,3
com.google.javascript.jscomp.Es7RewriteExponentialOperator,3
com.google.javascript.jscomp.Promises,3
com.google.javascript.jscomp.ModuleMetadataMap,3
com.google.javascript.jscomp.RewriteClosureImports,3
com.google.javascript.jscomp.modules.ClosureModuleProcessor,3
com.google.javascript.rhino.NonJSDocComment,3
com.google.javascript.jscomp.modules.ModuleMapCreator,3
com.google.javascript.rhino.jstype.EqualityChecker,3
com.google.javascript.jscomp.CrossChunkReferenceCollector,3
com.google.javascript.jscomp.Es6RewriteClassExtendsExpressions,3
com.google.javascript.jscomp.RewriteDynamicImports,3
com.google.javascript.jscomp.RewriteClassMembers,3
com.google.javascript.jscomp.ShowByPathWarningsGuard,2
com.google.javascript.jscomp.ControlStructureCheck,2
com.google.javascript.jscomp.SemanticReverseAbstractInterpreter,2
com.google.javascript.rhino.jstype.ValueType,2
com.google.javascript.jscomp.InlineGetters,2
com.google.javascript.jscomp.LocaleUtil,2
com.google.javascript.jscomp.Strings,2
com.google.javascript.jscomp.CheckPathsBetweenNodes,2
com.google.javascript.jscomp.RemoveConstantExpressions,2
com.google.javascript.jscomp.ParallelCompilerPass,2
com.google.javascript.jscomp.GatherSideEffectSubexpressionsCallback,2
com.google.javascript.rhino.jstype.ErrorFunctionType,2
