McLocalizer commit hash,Manual bug scope,McLocalizer bug scope,Bug scope precision,Bug scope recall
37a4ffcd30f42564590033da200fe68f58b3efa2,com.google.javascript.jscomp.ExpressionDecomposer; com.google.javascript.jscomp.FunctionInjector; com.google.javascript.jscomp.InlineFunctions,com.google.javascript.jscomp.ExpressionDecomposer; com.google.javascript.jscomp.FunctionInjector; com.google.javascript.jscomp.InlineFunctions,1.0,1.0
f39bbdd39c9ec2136f0a58a677bd2fdae77075a2,com.google.javascript.jscomp.CollapseProperties,com.google.javascript.jscomp.CollapseProperties,1.0,1.0
2d7219440693cb3ed5d7bd07c6c17c4cebf228f0,com.google.javascript.jscomp.CommandLineRunner,com.google.javascript.jscomp.CommandLineRunner,1.0,1.0
4b01b7892b98d31b16e498e717f7c6cefc9a3bd7,com.google.javascript.jscomp.GlobalNamespace,com.google.javascript.jscomp.GlobalNamespace,1.0,1.0
3395eb68a19a8492196df62fb9e38c814de80f08,com.google.javascript.jscomp.Scope; com.google.javascript.jscomp.ScopedAliases,com.google.javascript.jscomp.Scope; com.google.javascript.jscomp.ScopedAliases,1.0,1.0
7aca9cf8f9faf78cb906ae6c877f920092b50f2c,com.google.javascript.jscomp.LinkedFlowScope,com.google.javascript.jscomp.LinkedFlowScope,1.0,1.0
5f66d4911e6cf94b2787e41e66918540608d3183,com.google.javascript.jscomp.Compiler,com.google.javascript.jscomp.Compiler,1.0,1.0
6f8abaabc7cba66818a6e6533ef98d4884b9ff95,com.google.javascript.jscomp.transpile.BaseTranspiler,com.google.javascript.jscomp.transpile.BaseTranspiler,1.0,1.0
2f81505f11410bec924c1b3aaec3bae5a2aaad71,com.google.javascript.jscomp.DefaultPassConfig,com.google.javascript.jscomp.DefaultPassConfig,1.0,1.0
97aab3558cf1ddafd9c97033cb4dc4f54f6e2fb5,com.google.javascript.jscomp.AstAnalyzer,com.google.javascript.jscomp.AstAnalyzer,1.0,1.0
9b0a0602ac52f69f42120d9856ce8b80364f2378,com.google.javascript.jscomp.CommandLineRunner,com.google.javascript.jscomp.CommandLineRunner,1.0,1.0
ae3d787e6dc49b2930adbdd0026d1535ff250415,com.google.javascript.jscomp.GlobalTypeInfo; com.google.javascript.jscomp.NodeUtil,com.google.javascript.jscomp.GlobalTypeInfo; com.google.javascript.jscomp.NodeUtil,1.0,1.0
0fb76a81bbdd8ab84a00b8be2099abfb83c88668,com.google.javascript.jscomp.ProcessClosurePrimitives,com.google.javascript.jscomp.ProcessClosurePrimitives,1.0,1.0
